text,label
"Oʻzbekiston Respublikasi Markaziy banki asosiy stavkani oʻzgarishsiz qoldirdi, deb xabar berdi rasmiy matbuot xizmati.",real
"Toshkent shahrida yangi metro bekati qurilishi rejaga muvofiq davom etmoqda, loyiha kelgusi yilda yakunlanadi.",real
"Sogʻliqni saqlash vazirligi mavsumiy grippga qarshi emlash kampaniyasi boshlanganini maʼlum qildi.",real
"Iqlim oʻzgarishi boʻyicha xalqaro konferensiya Samarqandda boʻlib oʻtdi, unda mintaqaviy hamkorlik muhokama qilindi.",real
"Maktab oʻquvchilari uchun yangi raqamli taʼlim platformasi ishga tushirildi, deya xabar qildi vazirlik.",real
"Qishloq xoʻjaligi vazirligi paxta yetishtirishda suvdan tejamkor texnologiyalarni joriy etishni rejalashtirmoqda.",real
"Toshkent xalqaro aeroporti yoʻlovchilar oqimi oʻtgan yilga nisbatan oʻn besh foizga oshganini eʼlon qildi.",real
"Universitet olimlari mahalliy oziq-ovqat mahsulotlari sifatini oshirish boʻyicha tadqiqot natijalarini taqdim etdi.",real
"Davlat statistika qoʻmitasi maʼlumotlariga koʻra, inflyatsiya darajasi joriy chorakda barqaror qoldi.",real
"Energetika vazirligi qishki mavsumda elektr taʼminoti barqarorligini taʼminlash chora-tadbirlarini eʼlon qildi.",real
"Oʻzbekiston terma jamoasi xalqaro doʻstona uchrashuvda raqibini magʻlub etdi, deb yozadi sport nashri.",real
"Toshkentda kichik biznes egalari uchun imtiyozli kreditlar berish dasturi davom ettirilmoqda.",real
"Madaniyat vazirligi tarixiy obidalarni taʼmirlash boʻyicha yangi davlat dasturini taqdim etdi.",real
"Yangi ish oʻrinlari yaratish maqsadida hududlarda sanoat zonalari kengaytirilmoqda.",real
"Tabiatni muhofaza qilish qoʻmitasi daryolar tozaligini nazorat qilish tizimini takomillashtirdi.",real
"Transport vazirligi yangi tezyurar poyezd qatnovini ishga tushirish rejasini maʼlum qildi.",real
"Oliy taʼlim muassasalarida ilmiy tadqiqot grantlari hajmi oshirilishi rejalashtirilgan.",real
"Mahalliy fermerlar yangi issiqxona texnologiyalari yordamida hosildorlikni oshirishga erishdi.",real
"Raqamli iqtisodiyotni rivojlantirish boʻyicha forum Toshkentda mutaxassislarni jamladi.",real
"Suv xoʻjaligi vazirligi sugʻorish tarmoqlarini modernizatsiya qilish ishlarini boshladi.",real
"Toshkent shahar hokimligi jamoat transporti uchun yangi avtobuslar sotib olganini maʼlum qildi.",real
"Bandlik markazlari yoshlar uchun kasb-hunarga oʻrgatish kurslarini tashkil etmoqda.",real
"Ekologiya vazirligi havo sifatini monitoring qilish stansiyalari sonini koʻpaytirdi.",real
"Oʻzbekiston bilan qoʻshni davlatlar oʻrtasida savdo aylanmasi sezilarli oshdi.",real
"Ilm-fan akademiyasi yangi quyosh energiyasi laboratoriyasini ochdi.",real
"Mutaxassislar ogohlantirmoqda: limon va sariq choy bir kechada koronavirusni butunlay davolaydi emish!",fake
"Hukumat barcha fuqarolarga ertaga bir million soʻmdan bepul pul tarqatishni eʼlon qildi degan mish-mish tarqaldi.",fake
"Olimlar Oyda yashiringan begona sivilizatsiya izlarini topdi deb hayratlanarli daʼvo qilishdi.",fake
"Bu sirli oʻsimlikni iching va bir hafta ichida ortiqcha vazningiz mutlaqo yoʻqoladi, shifokorlar jim turibdi!",fake
"Mashhur aktyor maxfiy intervyuda dunyo tez orada tugashini oldindan aytdi degan yolgʻon xabar yoyildi.",fake
"Telefon batareyasini muzlatgichda saqlasangiz, u abadiy quvvat saqlaydi degan asossiz daʼvo internetda tarqaldi.",fake
"Bir tadbirkor uydan chiqmasdan kuniga ming dollar ishlash sirini fosh qildi, banklar bundan qoʻrqmoqda emish.",fake
"Yangi qonunga koʻra hamma fuqaroga bepul mashina beriladi degan soxta xabar ijtimoiy tarmoqlarni larzaga soldi.",fake
"Olimlar oddiy tuz suvini ichish barcha kasalliklarni davolaydi deb tasdiqladi degan yolgʻon maʼlumot tarqaldi.",fake
"Maxfiy hujjatlar fosh boʻldi: hukumat aslida ob-havoni nazorat qilayotgani aniqlandi emish!",fake
"Bu mobil ilovani yuklab oling va telefoningiz ekranida cheksiz pul paydo boʻladi degan firibgar reklama yoyildi.",fake
"Shok! Bir parcha sovun yostiq tagiga qoʻyilsa, barcha kasalliklar daf boʻladi degan xurofot tarqaldi.",fake
"Internetda mashhur kompaniya hamma uchun bepul iPhone tarqatmoqda degan soxta tanlov eʼlon qilindi.",fake
"Bir tomchi sirli moy soch toʻkilishini bir kechada toʻxtatadi, dorixonalar buni yashirmoqda emish.",fake
"Yangiliklarda tarqalgan yolgʻonga koʻra, ertadan boshlab internet butun mamlakatda bepul boʻlarmish.",fake
"Olimlar quyosh ertaga uch kun chiqmaydi deb ogohlantirdi degan asossiz vahima xabari yoyildi.",fake
"Bu maxsus tosh cho'ntagingizda boʻlsa, sizni boylikka koʻmib tashlaydi degan xurofiy daʼvo tarqaldi.",fake
"Maxfiy manba: barcha bankomatlar bugun tunda bepul pul beradi degan soxta xabar tarqatildi.",fake
"Shifokorlar hayratda: bu oddiy ziravor saraton kasalligini bir kunda yoʻq qiladi emish degan yolgʻon yoyildi.",fake
"Hukumat telefon raqamlarini oʻchirmoqchi, darhol bu xabarni yuboring aks holda raqamingiz bloklanadi degan firib tarqaldi.",fake
"Mashhur milliarder oʻz boyligini istalgan odamga tarqatmoqda, faqat shu havolani bosing degan aldov yoyildi.",fake
"Yangi kashfiyot: muzlatilgan limon suvi insonni o'lmas qiladi deb hech qanday dalilsiz daʼvo qilindi.",fake
"Internet foydalanuvchilarini ogohlantiramiz: bu xabarni tarqatmasangiz hisobingiz oʻchiriladi degan soxta tahdid yoyildi.",fake
"Bir stakan maxsus choy ichgan odam imtihonni oʻqimasdan aʼlo bahoga topshiradi emish degan kulgili yolgʻon tarqaldi.",fake
